Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Modalidad,Jornada Laboral,DocentesFemenino,DocentesMasculino,TotalDocentes,TotalAdministrativos,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
Loja_Province,CATAMAYO,CATAMAYO,-3,990003605240,JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO,NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO ,LaicHighSchool,Sierra,Distancia,Matutina,Vespertina,7,5,12,5
Loja_Province,PUYANGO,ELARENAL,-3,961694590280,RAMON SAMANIEGO PALACIOS,   VIA PRINCIPAL DE EL ARENAL,FiscalHighSchool,Costa,Presencial,Matutina,5,5,10,3,64
Loja_Province,PALTAS,CATACOCHA,-4,49385996540,UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI,DOMINGO CELI 7302 PALTAS E INDEPENDENCIA ,FiscomitionalHighSchool,Costa,Presencial,Matutina,34,8,42,3,479
Loja_Province,PUYANGO,ALAMOR,-4,16247769350,TECNICO PUYANGO,GABRIEL CAIZA  SUCRE ,FiscalHighSchool,Costa,Presencial,Matutina,12,19,31,6,169
Loja_Province,CALVAS,SANVICENTE,-4,330880748470,U. E. ELOY ALFARO,   BARRIO SAN VICENTE,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,39,36,75,13
Loja_Province,SARAGURO,ELPARAISODECELEN,-3,623412,UNIDAD EDUCATIVA PEDRO VICENTE MALDONADO,   CENTRO CELEN  VAUDILIO ARIAS Y VEINTE Y CUATRO  DE MAYO,FiscalHighSchool,Sierra,Presencial,Matutina,12,8,20,0,170
Loja_Province,GONZANAMA,NAMBACOLA,-4,133852,UNIDAD EDUCATIUVA NAMBACOLA,   A DOSCIENTOS METROS DEL PARQUE CENTRAL,FiscalHighSchool,Costa,Presencial,Matutina,6,15,21,6,121
Loja_Province,LOJA,ELCISNE,-3,850611385830,UNIDAD EDUCATIVA  CORAZON DE MARIA,   JUNTO AL CAMPO MARIANO,FiscomitionalHighSchool,Sierra,Presencial,Matutina,12,6,18,2,90
Loja_Province,ESPINDOLA,JIMBURA,-4,626669280760,UNIDAD EDUCATIVA  FISCOMISIONAL JULIO ERNESTO CELI,   CALLE 24 DE ABRIL Y AVENIDA AMALUZA,FiscomitionalHighSchool,Costa,Presencial,Matutina,10,8,18,5,145
Loja_Province,CALVAS,CARIAMANGA,-4,327301190120,UNIDAD EDUCATIVA  MARIA AUXILIADORA,   BARRIO  CENTRAL,FiscomitionalHighSchool,Costa,Presencial,Matutina,26,8,34,3,501
Loja_Province,LOJA,SANSEBASTIAN,-4,9221001990,UNIDAD EDUCATIVA BERNARDO VALDIVIESO,AV. EDUARDO KINGMAN 00 PABLO NERUDA Y CATAMAYO ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,Nocturno,91,75,166
Loja_Province,ZAPOTILLO,ZAPOTILLO,-4,382505,UNIDAD EDUCATIVA BRASIL,   BARRIO CEIBA CHICA,FiscalHighSchool,Costa,Presencial,Matutina,8,7,15,4,112
Loja_Province,PALTAS,GUACHANAMA,-4,47777620680,COLEGIO DE BACHILLERATO 29 DE MAYO,   PARROQUIA GUACHANAMA BARRIO CENTRAL,FiscalHighSchool,Costa,Presencial,Matutina,6,3,9,4,14
Loja_Province,LOJA,SANLUCAS,-3,712280517150,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE RUMI�AHUI,   BARRIO PICHIG,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,11,6,17,1
Loja_Province,ESPINDOLA,SANTATERESITA,-4,545530755660,UNIDAD EDUCATIVA COTOPAXI,   VIA AMALUZA CARIAMANGA BARRIO CANGOCHARA,FiscalHighSchool,Costa,Presencial,Matutina,6,10,16,0,88
Loja_Province,MACARA,MACARA(MANUELENRIQUERENGELSUQUILANDA),-4,385777848530,UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO,AURIA MARIA ARIAS  MAXIMO ARTURO ROMAN Y ZOILA HERRERA ,FiscalHighSchool,Costa,Presencial,Matutina,18,4,22,2,188
Loja_Province,LOJA,SANSEBASTIAN,-4,29642462170,UNIDAD EDUCATIVA DR MANUEL AGUSTIN CABRERA LOZANO,CALLE PABLO PALACIOS  BARRIO SANTA TERESITA   SE UTILIZA LA INSTALACIONES DEL COLEGIO DE BACHILLERATO   VEINTE Y SIETE  DE ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,24,18,42,4
Loja_Province,LOJA,SANSEBASTIAN,-4,14753366160,UNIDAD EDUCATIVA EXPERIMENTAL PARA CIEGOS LUIS BRAILLE,BUGANVILLAS 2427 AVENIDA GOBERNACION DE MAINAS ,FiscalHighSchool,Sierra,Presencial,Nocturno,4,6,10,5,14
Loja_Province,PALTAS,LAUROGUERRERO,-3,967940277540,COLEGIO DE BACHILLERATO TCNEL LAURO GUERRERO,   BARRIO EL CASTILLO,FiscalHighSchool,Costa,Presencial,Matutina,4,6,10,5,49
Loja_Province,SARAGURO,LLUZHAPA,-3,501028772650,ESCUELA DE EDUCACION BASICA LATACUNGA,   PARROQUIA  LLUZHAPA,FiscalHighSchool,Costa,Presencial,Matutina,9,5,14,0,86
Loja_Province,PALTAS,LOURDES,-4,81280080960,COLEGIO DE BACHILLERATO SEGUNDO CUEVA CELI,   BARRIO SAN VICENTE DEL RIO,FiscalHighSchool,Costa,Presencial,Matutina,2,4,6,3,22
Loja_Province,LOJA,ELSAGRARIO,-3,995392628000,UNIDAD EDUCATIVA FISCOMISIONAL LA DOLOROSA,JOSE ANTONIO EGUIGUREN 11-92 OLMEDO ,ReligiousHighSchool,Sierra,Presencial,Matutina,Vespertina,Nocturno,42,65,107
Loja_Province,LOJA,ELSAGRARIO,-3,998526380730,UNIDAD EDUCATIVA FISCOMISIONAL LA INMACULADA,BOLIVAR 09-35 ROCAFUERTE Y MIGUEL RIOFRIO ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,58,15,73,15,1.332
Loja_Province,MACARA,MACARA(MANUELENRIQUERENGELSUQUILANDA),-4,375554207100,UNIDAD EDUCATIVA FISCOMISIONAL MARISTA,AVENIDA PANAMERICANA 07-03 AVENIDA MARISTA ,FiscomitionalHighSchool,Costa,Presencial,Matutina,33,29,62,12,506
Loja_Province,OLMEDO,OLMEDO,-3,933530207380,UNIDAD EDUCATIVA FISCOMISIONAL MONS  ALBERTO ZAMBRANO PALACIOS,MONS JORGE GUILLERMO ARMIJOS SN SUCRE ,FiscomitionalHighSchool,Costa,Presencial,Matutina,20,18,38,3,312
Loja_Province,LOJA,VALLE,-3,987918158240,UNIDAD EDUCATIVA FISCOMISIONAL PARA PCEI HNO ANGEL PASTRANA CORRAL,JUAN DE SALINAS 03-61 JOSE FELIX DE VALDIVIESO Y QUITO ,FiscomitionalHighSchool,Sierra,Semipresencial,Matutina,34,11,45,3,366
